ID_Line;ExternalCode_Line;Name_Line;ShortName_Line;TransportMode;TransportSubmode;Type;OperatorRef;OperatorName;AdditionalOperatorsRef;NetworkName;ColourWeb_hexa;TextColourWeb_hexa;ColourPrint_CMJN;TextColourPrint_hexa;Accessibility;Audiblesigns_Available;Visualsigns_Available;ID_GroupOfLines;ShortName_GroupOfLines;Notice_Title;Notice_Text;Picto;Status
C00676;055055012:DM12;DM12;DM12;bus;;;55;TRANSPORTS DANIEL MEYER;;;0066ff;ffffff;100 60 0 0;ffffff;false;unknown;unknown;A00580;MASSY - PALAISEAU - SAULX-LES-CHARTREUX;;;;active
C01639;800:N141;N141;N141;bus;nightBus;;800;SNCF;;Noctilien;deb31a;0;0 19 88 13;0;true;unknown;unknown;A01490;"N141 - NOCTILIEN - Paris Gare de l&apos;Est - Meaux";;;;active
C00756;057057090:90;90;90;bus;localBus;;57;CTVMI;15;Com'Bus;65b331;ffffff;43 0 73 30;ffffff;false;unknown;unknown;A00649;MANTES-LA-VILLE (GARE ROUTIERE) - DEUIL-LA-BARRE (lycee);;;;active
C02270;010010001:324;324;324;bus;;;10;CEAT;;;a69dc9;0;17 22 0 21;0;false;unknown;unknown;A00075;LARDY (Gare SNCF) - ETRECHY - ETAMPES (Gare SNCF);;;;active
C00955;067167004:H;H;H;bus;regionalBus;;67;MARNE ET MORIN;;;d81466;ffffff;0 9100 5300 1500;ffffff;false;unknown;unknown;A00819;MEAUX (GARE ROUTIERE) - MEAUX (GARE ROUTIERE);;;;active
C01675;116195100:100P;Express 100;100P;bus;expressBus;;116;KMR;;Busval d'Oise;1ac7ff;0;90 22 0 0;0;false;unknown;unknown;A01755;PERSAN (GARE DE PERSAN) - TREMBLAY-EN-FRANCE (ROISSYPOLE RER);;;;active
C01761;014077749:749 D;749 D;749 D;bus;;;14;CIF;;Goëlys;d5df3f;ffffff;4 0 72 13;ffffff;false;unknown;unknown;A00209;MORTEFONTAINE (Institut Saint Dominique) - DAMMARTIN-EN-GOELE - VEMARS (Centre);;;;active
C00682;055055020:DM20;DM20;DM20;bus;;;55;TRANSPORTS DANIEL MEYER;;;0066ff;ffffff;100 60 0 0;ffffff;true;unknown;unknown;A00586;EGLY (Gare RER) - LA NORVILLE (Collège Camus);;;;active
C01989;005005051:51;51;51;bus;localBus;;5;TRANSDEV IDF HOUDAN;;Houdanais;fdd59b;0;0 16 39 1;0;false;unknown;unknown;A02197;BEYNES - SAULX-MARCHAIS;;;;active
C01990;005005055:55;55;55;bus;localBus;;5;TRANSDEV IDF HOUDAN;;Houdanais;ffcc00;0;0 20 100 0;0;false;unknown;unknown;A02201;THOIRY- ORGERUS;;;;active
